patient nos
Date,Total,,,,,,,,,,,,,,,
11/10/2010,29,,,,,,,,,,,,,,,
18/10/2010,41,,,,,,,,,,,,,,,
25/10/2010,42,,,,,,,,,,,,,,,
01/11/2010,47,,,,,,,,,,,,,,,
08/11/2010,35,,,,,,,,,,,,,,,
15/11/2010,38,,,,,,,,,,,,,,,
22/11/2010,35,,,,,,,,,,,,,,,
29/11/2010,19,,,,,,,,,,,,,,,
06/12/2010,26,,,,,,,,,,,,,,,
13/12/2010,35,,,,,,,,,,,,,,,
20/12/2010,16,,,,,,,,,,,,,,,
27/12/2010,20,,,,,,,,,,,,,,,
03/01/2011,27,,,,,,,,,,,,,,,
10/01/2011,37,,,,,,,,,,,,,,,
17/01/2011,28,,,,,,,,,,,,,,,
24/01/2011,32,,,,,,,,,,,,,,,
31/01/2011,41,,,,,,,,,,,,,,,
07/02/2011,35,,,,,,,,,,,,,,,
14/02/2011,38,,,,,,,,,,,,,,,
21/02/2011,35,,,,,,,,,,,,,,,
28/02/2011,43,,,,,,,,,,,,,,,
07/03/2011,38,,,,,,,,,,,,,,,
14/03/2011,33,,,,,,,,,,,,,,,
21/03/2011,39,,,,,,,,,,,,,,,
28/03/2011,48,,,,,,,,,,,,,,,
04/04/2011,40,,,,,,,,,,,,,,,
11/04/2011,43,,,,,,,,,,,,,,,
18/04/2011,32,,,,,,,,,,,,,,,
25/04/2011,22,,,,,,,,,,,,,,,
02/05/2011,28,,,,,,,,,,,,,,,
09/05/2011,33,,,,,,,,,,,,,,,
16/05/2011,36,,,,,,,,,,,,,,,
23/05/2011,32,,,,,,,,,,,,,,,
30/05/2011,29,,,,,,,,,,,,,,,
06/06/2011,41,,,,,,,,,,,,,,,
13/06/2011,46,,,,,,,,,,,,,,,
20/06/2011,47,,,,,,,,,,,,,,,
27/06/2011,52,,,,,,,,,,,,,,,
04/07/2011,45,,,,,,,,,,,,,,,
11/07/2011,46,,,,,,,,,,,,,,,
18/07/2011,49,,,,,,,,,,,,,,,
25/07/2011,44,,,,,,,,,,,,,,,
01/08/2011,44,,,,,,,,,,,,,,,
08/08/2011,30,,,,,,,,,,,,,,,
15/08/2011,25,,,,,,,,,,,,,,,
22/08/2011,52,,,,,,,,,,,,,,,
29/08/2011,50,,,,,,,,,,,,,,,
05/09/2011,45,,,,,,,,,,,,,,,
12/09/2011,40,,,,,,,,,,,,,,,
19/09/2011,41,,,,,,,,,,,,,,,
26/09/2011,41,,,,,,,,,,,,,,,
03/10/2011,28,,,,,,,,,,,,,,,
10/10/2011,26,,,,,,,,,,,,,,,
17/10/2011,28,,,,,,,,,,,,,,,
24/10/2011,31,,,,,,,,,,,,,,,
31/10/2011,30,,,,,,,,,,,,,,,
07/11/2011,34,,,,,,,,,,,,,,,
14/11/2011,27,,,,,,,,,,,,,,,
21/11/2011,31,,,,,,,,,,,,,,,
28/11/2011,19,,,,,,,,,,,,,,,
05/12/2011,29,,,,,,,,,,,,,,,
12/12/2011,30,,,,,,,,,,,,,,,
19/12/2011,36,,,,,,,,,,,,,,,
26/12/2011,19,,,,,,,,,,,,,,,
02/01/2012,29,,,,,,,,,,,,,,,
09/01/2012,26,,,,,,,,,,,,,,,
16/01/2012,30,,,,,,,,,,,,,,,
23/01/2012,29,,,,,,,,,,,,,,,
30/01/2012,27,,,,,,,,,,,,,,,
06/02/2012,37,,,,,,,,,,,,,,,
13/02/2012,31,,,,,,,,,,,,,,,
20/02/2012,38,,,,,,,,,,,,,,,
27/02/2012,37,,,,,,,,,,,,,,,
05/03/2012,27,,,,,,,,,,,,,,,
12/03/2012,34,,,,,,,,,,,,,,,
19/03/2012,31,,,,,,,,,,,,,,,
26/03/2012,31,,,,,,,,,,,,,,,
02/04/2012,23,,,,,,,,,,,,,,,
09/04/2012,28,,,,,,,,,,,,,,,
16/04/2012,32,,,,,,,,,,,,,,,
23/04/2012,21,,,,,,,,,,,,,,,
30/04/2012,31,,,,,,,,,,,,,,,
07/05/2012,27,,,,,,,,,,,,,,,
14/05/2012,29,,,,,,,,,,,,,,,
21/05/2012,27,,,,,,,,,,,,,,,
28/05/2012,30,,,,,,,,,,,,,,,
04/06/2012,27,,,,,,,,,,,,,,,
11/06/2012,21,,,,,,,,,,,,,,,
18/06/2012,28,,,,,,,,,,,,,,,
25/06/2012,44,,,,,,,,,,,,,,,
02/07/2012,43,,,,,,,,,,,,,,,
09/07/2012,42,,,,,,,,,,,,,,,
16/07/2012,42,,,,,,,,,,,,,,,
23/07/2012,53,,,,,,,,,,,,,,,
30/07/2012,34,,,,,,,,,,,,,,,
06/08/2012,39,,,,,,,,,,,,,,,
13/08/2012,36,,,,,,,,,,,,,,,
20/08/2012,28,,,,,,,,,,,,,,,
27/08/2012,41,,,,,,,,,,,,,,,
03/09/2012,41,,,,,,,,,,,,,,,
10/09/2012,46,,,,,,,,,,,,,,,
17/09/2012,41,,,,,,,,,,,,,,,
24/09/2012,42,,,,,,,,,,,,,,,
01/10/2012,49,,,,,,,,,,,,,,,
08/10/2012,39,,,,,,,,,,,,,,,
15/10/2012,37,,,,,,,,,,,,,,,
22/10/2012,46,,,,,,,,,,,,,,,
29/10/2012,46,,,,,,,,,,,,,,,
05/11/2012,35,,,,,,,,,,,,,,,
12/11/2012,43,,,,,,,,,,,,,,,
19/11/2012,41,,,,,,,,,,,,,,,
26/11/2012,49,,,,,,,,,,,,,,,
03/12/2012,51,,,,,,,,,,,,,,,
10/12/2012,50,,,,,,,,,,,,,,,
17/12/2012,41,,,,,,,,,,,,,,,
24/12/2012,29,,,,,,,,,,,,,,,
31/12/2012,38,,,,,,,,,,,,,,,
07/01/2013,43,,,,,,,,,,,,,,,
14/01/2013,34,,,,,,,,,,,,,,,
21/01/2013,34,,,,,,,,,,,,,,,
28/01/2013,32,,,,,,,,,,,,,,,
04/02/2013,33,,,,,,,,,,,,,,,
11/02/2013,38,,,,,,,,,,,,,,,
18/02/2013,50,,,,,,,,,,,,,,,
25/02/2013,37,,,,,,,,,,,,,,,
04/03/2013,31,,,,,,,,,,,,,,,
11/03/2013,36,,,,,,,,,,,,,,,
18/03/2013,31,,,,,,,,,,,,,,,
25/03/2013,28,,,,,,,,,,,,,,,
01/04/2013,26,,,,,,,,,,,,,,,
08/04/2013,23,,,,,,,,,,,,,,,
15/04/2013,37,,,,,,,,,,,,,,,
22/04/2013,22,,,,,,,,,,,,,,,
29/04/2013,41,,,,,,,,,,,,,,,
06/05/2013,34,,,,,,,,,,,,,,,
13/05/2013,38,,,,,,,,,,,,,,,
20/05/2013,30,,,,,,,,,,,,,,,
27/05/2013,34,,,,,,,,,,,,,,,
03/06/2013,32,,,,,,,,,,,,,,,
10/06/2013,29,,,,,,,,,,,,,,,
17/06/2013,35,,,,,,,,,,,,,,,
24/06/2013,34,,,,,,,,,,,,,,,
01/07/2013,30,,,,,,,,,,,,,,,
08/07/2013,27,,,,,,,,,,,,,,,
15/07/2013,27,,,,,,,,,,,,,,,
22/07/2013,25,,,,,,,,,,,,,,,
29/07/2013,33,,,,,,,,,,,,,,,
05/08/2013,36,,,,,,,,,,,,,,,
12/08/2013,0,,,,,,,,,,,,,,,
19/08/2013,23,,,,,,,,,,,,,,,
26/08/2013,28,,,,,,,,,,,,,,,
02/09/2013,37,,,,,,,,,,,,,,,
09/09/2013,29,,,,,,,,,,,,,,,
16/09/2013,28,,,,,,,,,,,,,,,
23/09/2013,19,,,,,,,,,,,,,,,
30/09/2013,47,,,,,,,,,,,,,,,
07/10/2013,43,,,,,,,,,,,,,,,
14/10/2013,49,,,,,,,,,,,,,,,
21/10/2013,51,,,,,,,,,,,,,,,
28/10/2013,38,,,,,,,,,,,,,,,
04/11/2013,48,,,,,,,,,,,,,,,
11/11/2013,52,,,,,,,,,,,,,,,
18/11/2013,53,,,,,,,,,,,,,,,
25/11/2013,51,,,,,,,,,,,,,,,
02/12/2013,42,,,,,,,,,,,,,,,
09/12/2013,47,,,,,,,,,,,,,,,
16/12/2013,56,,,,,,,,,,,,,,,
23/12/2013,27,,,,,,,,,,,,,,,
30/12/2013,34,,,,,,,,,,,,,,,
06/01/2014,41,,,,,,,,,,,,,,,
13/01/2014,47,,,,,,,,,,,,,,,
20/01/2014,49,,,,,,,,,,,,,,,
27/01/2014,43,,,,,,,,,,,,,,,
03/02/2014,52,,,,,,,,,,,,,,,
10/02/2014,46,,,,,,,,,,,,,,,
17/02/2014,40,,,,,,,,,,,,,,,
24/02/2014,41,,,,,,,,,,,,,,,
03/03/2014,42,,,,,,,,,,,,,,,
10/03/2014,46,,,,,,,,,,,,,,,
17/03/2014,42,,,,,,,,,,,,,,,
24/03/2014,47,,,,,,,,,,,,,,,
31/03/2014,50,,,,,,,,,,,,,,,
07/04/2014,54,,,,,,,,,,,,,,,
14/04/2014,37,,,,,,,,,,,,,,,
